Dos. nr.;DossierStatus;Boekingsdatum;Vertrekdatum;Volledige naam klant;Bestemming;ArticlePoNummer;Artikelcode;Omschrijving;Artikelprijs;Totaal dossier
2994;Ok;13.02.2017 00:00:00;03.09.2017 00:00:00;8ceab206db8c9098;Spanje Catalonie;;b88f0643e0cee27d;Toeristenbelasting per week;3,50;1.993,15
2994;Ok;13.02.2017 00:00:00;03.09.2017 00:00:00;8ceab206db8c9098;Spanje Catalonie;;c4825f811e9c06fe;Verzameltransfer retour p.p. trektocht;80,00;1.993,15
2994;Ok;13.02.2017 00:00:00;03.09.2017 00:00:00;8ceab206db8c9098;Spanje Catalonie;;;Amsterdam - Barcelona retour incl 1 koffer ruimbagage;203,00;1.993,15
2994;Ok;13.02.2017 00:00:00;03.09.2017 00:00:00;8ceab206db8c9098;Spanje Catalonie;;;Reserveringskosten;25,00;1.993,15
2994;Ok;13.02.2017 00:00:00;03.09.2017 00:00:00;8ceab206db8c9098;Spanje Catalonie;;aea26b5756bd0feb;Combinatieverzekering ;112,65;1.993,15
2994;Ok;13.02.2017 00:00:00;03.09.2017 00:00:00;8ceab206db8c9098;Spanje Catalonie;;0a40ba0908143439;Poliskosten;3,00;1.993,15
2995;Ok;25.04.2017 15:20:32;10.07.2017 00:00:00;06e8cdc79ece1f8a;Catalonie Spanje;;0d983798f4d6f981;Drie landen tocht incl verzameltransfer;3.980,00;4.854,94
2995;Ok;25.04.2017 15:20:32;10.07.2017 00:00:00;06e8cdc79ece1f8a;Catalonie Spanje;;0a3ea284edae4b75;Guesthouse /Hotelsupplement € 240,- /3 nachten ter plaatse contant te betalen;0,00;4.854,94
2995;Ok;25.04.2017 15:20:32;10.07.2017 00:00:00;06e8cdc79ece1f8a;Catalonie Spanje;;;Retour Amsterdam - Barcelona incl 1 koffer ruimbagage;638,00;4.854,94
2995;Ok;25.04.2017 15:20:32;10.07.2017 00:00:00;06e8cdc79ece1f8a;Catalonie Spanje;;;Reserveringskosten;25,00;4.854,94
2995;Ok;25.04.2017 15:20:32;10.07.2017 00:00:00;06e8cdc79ece1f8a;Catalonie Spanje;;1f5324d93d081e6e;Annuleringsverzekering;208,94;4.854,94
2995;Ok;25.04.2017 15:20:32;10.07.2017 00:00:00;06e8cdc79ece1f8a;Catalonie Spanje;;0a40ba0908143439;Poliskosten;3,00;4.854,94
2983;Ok;17.04.2017 00:00:00;16.07.2017 00:00:00;628d104ded7dd60a;Andalusie;;1f5324d93d081e6e;Annuleringsverzekering;72,90;1.695,90
2983;Ok;17.04.2017 00:00:00;16.07.2017 00:00:00;628d104ded7dd60a;Andalusie;;0a40ba0908143439;Poliskosten;3,00;1.695,90
2997;Ok;12.04.2017 00:00:00;07.07.2017 00:00:00;a96f192d37581a51;Ardennen Belgie;;a06746cecc89b02b;Paardrijweekend Western Ardennen;550,00;550,00
2998;Ok;22.04.2017 00:00:00;09.07.2017 00:00:00;63fa6e358794038c;Een week paardrijden met jongvolwassenen;;6a21db86ef510efe;Vlucht Ryanair Charleroi - Carcassonne incl 1 koffer ruimbagage;222,34;731,72
2998;Ok;22.04.2017 00:00:00;09.07.2017 00:00:00;63fa6e358794038c;Een week paardrijden met jongvolwassenen;;b350726102ee4f88;Reserveringskosten;25,00;731,72
2998;Ok;22.04.2017 00:00:00;09.07.2017 00:00:00;63fa6e358794038c;Een week paardrijden met jongvolwassenen;;1f5324d93d081e6e;Annuleringsverzekering;31,38;731,72
2998;Ok;22.04.2017 00:00:00;09.07.2017 00:00:00;63fa6e358794038c;Een week paardrijden met jongvolwassenen;;0a40ba0908143439;Poliskosten;3,00;731,72
