Dos. nr.;DossierStatus;Boekingsdatum;Vertrekdatum;Volledige naam klant;Bestemming;ArticlePoNummer;Artikelcode;Omschrijving;Artikelprijs;Totaal dossier
713;Ok;10.01.2013 00:00:00;19.07.2013 00:00:00;826f2a57235cbff0;Buitenritten in de Ongerepte Natuur van de Loonse en Drunense Duinen;;;Prijs per persoon (2 x Tweepersoonskamer);880,00;0,00
714;Ok;11.01.2013 00:00:00;26.04.2013 00:00:00;372cf782d12d6ebb;Westernranch in de Ardennen;;ec5bf082c4d8bae6;Weekend Western Ranch in tweepersoonskamer;580,00;580,00
744;Ok;26.01.2013 00:00:00;27.04.2013 00:00:00;b656deada70fafb9;Fatima-trektocht in Spanje, met bezoek Granada en Cordoba;;;Prijs per persoon (2 x Tweepersoonskamer);5.400,00;5.727,00
744;Ok;26.01.2013 00:00:00;27.04.2013 00:00:00;b656deada70fafb9;Fatima-trektocht in Spanje, met bezoek Granada en Cordoba;;;Ja;327,00;5.727,00
745;Ok;27.01.2013 00:00:00;07.04.2013 00:00:00;52aa0c8f23c08919;Klassieke dressuurlessen van topkwaliteit en stedenschoon in Portugal;;;Prijs per persoon (1 x Eenpersoonskamer);1.280,00;1.280,00
743;Ok;25.01.2013 00:00:00;10.08.2013 00:00:00;9d261039ad8c9445;De Balkan trail;;def3d0afc5a44821;1 x ( één persoonskamer );895,00;895,00
755;Ok;02.02.2013 00:00:00;28.07.2013 00:00:00;f428a95a4eb0997c;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Ruiterkamp;295,00;295,00
756;Ok;04.02.2013 00:00:00;14.06.2013 00:00:00;a70ee41644b78b59;Trektochten te paard in de Noord Eifel;;be8fbe09c6ee3d94;Prijs per persoon (1 x Tweepersoonskamer);814,00;814,00
759;Ok;03.02.2013 00:00:00;10.08.2013 00:00:00;0b41e981f904bb9b;De Balkan trail Bulgarije;;;Balkan Trail;895,00;1.240,00
760;Ok;03.02.2013 00:00:00;20.07.2013 00:00:00;19f3e6b1e63cd5d4;Avontuurlijke paardrijtochten in Umbrië Italië;;049a9b89d8784fb4;Zomertocht;2.580,00;2.580,00
764;Ok;06.02.2013 00:00:00;22.06.2013 00:00:00;04efe1960ed702eb;Nederlands Frans ruiterhotel in de Dordogne Frankr;;0ae6d9e358376a70;Zomerweek halve dagtochten;785,00;1.255,00
773;Ok;08.02.2013 00:00:00;05.04.2013 00:00:00;5e180f8c7a57d233;Pittige Ritten in de Ardennen;;6dc37ffccd8f8373;Prijs per persoon (1 x Eenpersoonskamer);315,00;345,00
779;Ok;13.02.2013 00:00:00;27.07.2013 00:00:00;eb5849872e4503d9;Vakantiehuis in de Dordogne 2-4 persoons;;4603a09ea2e534fb;2-4 persoonshuis logies;600,00;600,00
774;Ok;08.02.2013 00:00:00;24.08.2013 00:00:00;c0bf2a71643b4520;Met de Huifkar over de Poesta Hongarije;;6ee4b7688d9819cb;Huur huifkar per week, logies;675,00;675,00
791;Ok;15.02.2013 00:00:00;28.07.2013 00:00:00;fc35691dbdd97889;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
800;Ok;20.02.2013 00:00:00;27.04.2013 00:00:00;e2511f74c7ab8662;Fatima-trektocht in Spanje, met bezoek Granada en Cordoba;;fce5bdfc950611be;Fatima Trektocht;1.350,00;1.350,00
802;Ok;22.02.2013 00:00:00;28.07.2013 00:00:00;8b4df0e4e268ce10;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
803;Ok;23.02.2013 00:00:00;28.07.2013 00:00:00;59c6c68bd36b8e3d;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
804;Ok;23.02.2013 00:00:00;28.07.2013 00:00:00;0f8cf03d2c8fd2a8;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
805;Ok;20.02.2013 00:00:00;05.07.2013 00:00:00;ea0eda86bb158994;Paardrijden met IJslanders in de Ardennen;;2c3990e373fce35f;Paardrijweekend IJslanders Ardennen;620,00;620,00
806;Ok;26.02.2013 00:00:00;04.08.2013 00:00:00;93f62c809a7461c6;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
807;Ok;26.02.2013 00:00:00;04.08.2013 00:00:00;40a7d9982217f0e8;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
808;Ok;26.02.2013 00:00:00;04.08.2013 00:00:00;8d51216af18fc854;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
813;Ok;28.02.2013 00:00:00;13.07.2013 00:00:00;e67efe5252eca518;De Kust van de Lusitano;;0de79b1b3cf34ddb;Semi-Trektocht kust vd Lusitano;1.878,00;2.832,86
815;Ok;02.03.2013 00:00:00;27.07.2013 00:00:00;adfa8d90d0ff2132;MOLISE TREKTOCHT Italie;;82a2e325c02a779a;Molise trektocht;1.950,00;1.950,00
816;Ok;03.03.2013 00:00:00;14.07.2013 00:00:00;33e691eb62f8bf4e;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
819;Ok;03.03.2013 00:00:00;21.07.2013 00:00:00;ff3565383a176e44;Jeugdkamp Brabant - Op de Grens Nederland;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
821;Ok;05.03.2013 00:00:00;07.07.2013 00:00:00;352071f59e4f9d69;Jeugdkamp Brabant - Op de Grens, Nederland;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
818;Ok;03.03.2013 00:00:00;13.07.2013 00:00:00;cf85c036dc700420;Ponykamp Brabant - Loonse en Drunense Duinen;;56679947c587643e;Jeugdkamp Brabant Loonse en Drunense Duinen;280,00;280,00
820;Ok;04.03.2013 00:00:00;12.04.2013 00:00:00;21c8b7e87e4ca9c6;Western rijden in de Ardennen;;a06746cecc89b02b;Paardrijweekend Western Ardennen;260,00;260,00
823;Ok;05.03.2013 00:00:00;12.04.2013 00:00:00;ee98a65b0d9b2193;Western rijden in de Ardennen;;a06746cecc89b02b;Paardrijweekend Western Ardennen;260,00;260,00
824;Ok;05.03.2013 00:00:00;12.04.2013 00:00:00;89432f0637b868b4;Western rijden in de Ardennen;;a06746cecc89b02b;Paardrijweekend Western Ardennen;260,00;260,00
825;Ok;06.03.2013 00:00:00;12.04.2013 00:00:00;0010811d975ca2a8;Western rijden in de Ardennen;;a06746cecc89b02b;Paardrijweekend Western Ardennen;260,00;260,00
826;Ok;06.03.2013 00:00:00;18.08.2013 00:00:00;93233f8b098de7fe;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
840;Ok;09.03.2013 00:00:00;18.08.2013 00:00:00;3d3c46f7ee872cc0;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
776;Ok;10.02.2013 00:00:00;15.03.2013 00:00:00;05ae2511d981f272;Paardrijden op het strand in Zeeland;;401e5ae439716d64;Kort weekend 6 uur rijden;242,00;364,00
843;Ok;13.03.2013 00:00:00;30.08.2013 00:00:00;77b45c720af53c16;Buitenritten in de Ongerepte Natuur van de Loonse en Drunense Duinen;;0c1bd97891509f6f;Paardrijweekend B - 7 uur;350,00;350,00
811;Ok;27.02.2013 00:00:00;13.07.2013 00:00:00;a0abdcf39ed430ff;Ponykamp Brabant - Loonse en Drunense Duinen;;56679947c587643e;Jeugdkamp Brabant Loonse en Drunense Duinen;560,00;560,00
848;Ok;15.03.2013 00:00:00;07.07.2013 00:00:00;3a7d3ca56b592675;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
849;Ok;15.03.2013 00:00:00;13.07.2013 00:00:00;9b4ab661063c0f49;Vakantiehuis in de Dordogne;;2a538ee79938a7dd;2 tot 4 persoons huis;600,00;600,00
853;Ok;19.03.2013 00:00:00;04.05.2013 00:00:00;d8f337c7a4658684;Een echte Western Ranch in Zuid Frankrijk;;84dde8cc0e672358;Working Horse and Cow week Westernranch Haut Languedoc;1.810,00;1.894,45
854;Ok;19.03.2013 00:00:00;30.08.2013 00:00:00;af4affa7d5343cdf;Buitenritten in de Ongerepte Natuur van de Loonse en Drunense Duinen;;0c1bd97891509f6f;Paardrijweekend B - 7 uur groepskamer;1.256,00;1.398,00
851;Ok;18.03.2013 00:00:00;06.07.2013 00:00:00;e8ee5d66b18aca26;Extremadura, op de grens van Spanje en Portugal;;047433750b991ec1;Semi-trektocht Extremadura;1.470,00;2.361,50
875;Ok;25.03.2013 00:00:00;13.07.2013 00:00:00;b382b6d57ce6e2bf;De Kust van de Lusitano;;0de79b1b3cf34ddb;Semi-Trektocht kust vd Lusitano;939,00;1.714,21
852;Ok;18.03.2013 00:00:00;26.05.2013 00:00:00;2a9319bb3371709d;Klassieke dressuur en vakantie op een Hacienda in Andalusië;;cc762b746b258243;KLassie dressuur en hoge school dressurweek;2.015,00;2.981,60
877;Ok;21.03.2013 00:00:00;09.05.2013 00:00:00;3ae5b4eee1ebd781;Pittige Ritten in de Ardennen;;9bb55c5aa3ba895e;Lang Weekend Pittige ritten Ruiter;940,00;985,00
879;Ok;26.03.2013 00:00:00;03.05.2013 00:00:00;a34a8f290e9463a9;Buitenritten en trektochten in Salland;;e10483c59f961445;Salland Trektochtweekend;295,00;315,70
883;Ok;25.03.2013 00:00:00;02.05.2013 00:00:00;71c253892f45e88b;Rijden en mennen met Friese paarden in mooi Drenthe;;72fe6ab0e2e871b6;Lang Combi Weekend Mennen en Paardrijden;230,00;305,00
886;Ok;28.03.2013 00:00:00;28.07.2013 00:00:00;2ece6fe61a7abb3e;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;590,00;590,00
887;Ok;29.03.2013 00:00:00;28.06.2013 00:00:00;f8e33877ebcd8b3d;Westernranch in de Ardennen;;ec5bf082c4d8bae6;Weekend Western Ranch in Cabin Bunkhouse;2.160,00;2.160,00
888;Ok;30.03.2013 00:00:00;06.07.2013 00:00:00;9d6fa4aa13466110;Paardrijden op het strand in Zeeland;;401e5ae439716d64;Kort paardrijweekend 1 nachjt L/O 6 uur rijden;242,00;242,00
889;Ok;01.04.2013 00:00:00;23.07.2013 00:00:00;6fafbf9f5d099016;Beginnersweek te paard in Beieren;;9fbe0c4514352c37;Beginnersweek Beieren;440,00;440,00
890;Ok;02.04.2013 00:00:00;25.05.2013 00:00:00;354c984636b12fa8;De Kust van de Lusitano;;0de79b1b3cf34ddb;Semi-Trektocht kust vd Lusitano;939,00;1.375,75
891;Ok;02.04.2013 00:00:00;23.08.2013 00:00:00;a522d8f5ae877ab4;Buitenritten in de Ongerepte Natuur van de Loonse en Drunense Duinen;;dcfe23e99ef09736;Paardrijweekend A - 9 uur rijden, tweepersoonskamer;440,00;440,00
874;Ok;25.03.2013 00:00:00;13.04.2013 00:00:00;7869f3b82826a0db;De Kust van de Lusitano;;0de79b1b3cf34ddb;Semi-Trektocht kust vd Lusitano;939,00;977,55
897;Ok;03.04.2013 00:00:00;18.08.2013 00:00:00;8998298922a51dc9;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
898;Ok;06.04.2013 00:00:00;17.05.2013 00:00:00;6b19484e003f47e4;Buitenritten en trektochten in Salland;;e10483c59f961445;Pinkster Trektochtweekend;395,00;395,00
896;Ok;04.04.2013 00:00:00;27.04.2013 00:00:00;6bfc73bb47be9f21;De Balkan trail;;def3d0afc5a44821;Balkan Trail Centraal Balkan;1.790,00;1.700,00
812;Ok;28.02.2013 00:00:00;14.06.2013 00:00:00;34f821183ca520cc;Beginnersweek te paard in Beieren Duitsland;;9fbe0c4514352c37;Beginnersweek Beieren;880,00;1.137,00
801;Ok;22.02.2013 00:00:00;18.08.2013 00:00:00;9b8ba03cd1cf61d1;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
910;Ok;16.04.2013 00:00:00;19.04.2013 00:00:00;e0e0343d77a515a7;Vulkaaneifel - Te paard door een Uniek Landschap;;01651051a4bb249c;Standplaatsweekend Vulkaaneifel;990,00;1.015,50
828;Ok;07.03.2013 00:00:00;31.05.2013 00:00:00;88de5dba9423ed20;Paardrijden met IJslanders in de Ardennen;;2c3990e373fce35f;Paardrijweekend IJslanders Ardennen;310,00;340,00
912;Ok;15.04.2013 00:00:00;25.05.2013 00:00:00;bb4856f3d909a0cc;Back to Basic trektocht op Corsica;;1bf8143176ae173f;Back to Basic tenten trektocht;928,00;928,00
913;Ok;15.04.2013 00:00:00;03.05.2013 00:00:00;e8bc94b983d5790d;Buitenritten en trektochten in Salland;;e10483c59f961445;Salland Trektochtweekend;590,00;590,00
915;Ok;16.04.2013 00:00:00;27.07.2013 00:00:00;574788a2c362a866;Ponykamp Brabant - Loonse en Drunense Duinen;;56679947c587643e;Jeugdkamp Brabant Loonse en Drunense Duinen;560,00;539,00
917;Ok;14.04.2013 00:00:00;13.07.2013 00:00:00;5d32d1b7ec796bc1;Galoppo: Sardinië te paard op jouw maat!;;81afa568f33ef717;Week Galoppo Halfpension;1.380,00;1.970,00
757;Ok;04.02.2013 00:00:00;27.04.2013 00:00:00;3fabe350737e3ff7;Fatima-trektocht in Spanje, met bezoek Granada en Cordoba;;fce5bdfc950611be;Fatima Trektocht;1.350,00;1.350,00
921;Ok;19.04.2013 00:00:00;13.07.2013 00:00:00;8a314e5a6b4d8f51;Ponykamp Brabant - Loonse en Drunense Duinen;;56679947c587643e;Jeugdkamp Brabant Loonse en Drunense Duinen;280,00;295,60
922;Ok;21.04.2013 00:00:00;13.07.2013 00:00:00;7b3ca088aa531e49;Ponykamp Brabant - Loonse en Drunense Duinen;;56679947c587643e;Jeugdkamp Brabant Loonse en Drunense Duinen;280,00;280,00
925;Ok;17.04.2013 00:00:00;14.06.2013 00:00:00;84df649345ec37f4;Trektochten te paard in de Noord Eifel;;be8fbe09c6ee3d94;Driedaags Panorama  trektochtweekend ;814,00;814,00
929;Ok;23.04.2013 00:00:00;13.07.2013 00:00:00;c790b4c757bff820;Ponykamp Brabant - Loonse en Drunense Duinen;;56679947c587643e;Jeugdkamp Brabant Loonse en Drunense Duinen;280,00;280,00
920;Ok;18.04.2013 00:00:00;27.07.2013 00:00:00;c01c56c5ae9416f1;Ponykamp Brabant - Loonse en Drunense Duinen;;56679947c587643e;Jeugdkamp Brabant Loonse en Drunense Duinen;280,00;269,50
926;Ok;20.04.2013 00:00:00;20.07.2013 00:00:00;8e14726c4b76918a;De Kust van de Lusitano;;0de79b1b3cf34ddb;Semi-Trektocht kust vd Lusitano;939,00;1.029,00
932;Ok;22.04.2013 00:00:00;28.06.2013 00:00:00;7047e264c05d5c28;Paardrijden met IJslanders in de Ardennen;;2c3990e373fce35f;Paardrijweekend IJslanders Ardennen;620,00;620,00
931;Ok;25.04.2013 00:00:00;17.08.2013 00:00:00;4ecea98a82c5a8e5;Klassieke Dressuur en Buitenrijden in de Toscane;;cd17b278ae4c6036;ITPA 6 dagen 2 dressuurlessen;1.027,00;3.492,00
880;Ok;26.03.2013 00:00:00;17.05.2013 00:00:00;c89ce717b77a20ed;Buitenritten en trektochten in Salland;;e10483c59f961445;Salland Trektochtweekend;295,00;395,00
933;Ok;29.04.2013 00:00:00;08.05.2013 00:00:00;0d5a4a84400fbb1f;Paardrijden op het strand in Zeeland;;401e5ae439716d64;Kort paardrijweekend 1 nachjt L/O 6 uur rijden;242,00;242,00
936;Ok;02.05.2013 00:00:00;20.09.2013 00:00:00;44af3825e67b2bc3;Buitenritten in de Ongerepte Natuur van de Loonse en Drunense Duinen;;dcfe23e99ef09736;Paardrijweekend A - 9 uur rijden,slaapzaal;1.212,00;1.212,00
937;Ok;02.05.2013 00:00:00;01.07.2013 00:00:00;c8e190ce506fabf4;Paardrijden op het strand in Zeeland;;5fbf412eef94db5d;Midweek paardrijden Zeeland 11 uur rijden;578,00;578,00
882;Ok;28.03.2013 00:00:00;27.04.2013 00:00:00;850ac7df63551f78;Working Ranch Montana - Authentieke cowboyervaring;;706c0c99fe7f104e;Cattle Drive Montana;1.300,00;2.559,71
943;Ok;09.05.2013 00:00:00;25.06.2013 00:00:00;6314b09b0bdd727a;Western rijden in de Ardennen;;b69f675232f12283;Midweek;520,00;546,40
946;Ok;08.05.2013 00:00:00;26.07.2013 00:00:00;7cf4d29748ebe901;Buitenritten en trektochten in Salland;;e10483c59f961445;Salland Trektochtweekend;885,00;885,00
934;Ok;30.04.2013 00:00:00;20.07.2013 00:00:00;032189fefb4d8d73;Klassieke Dressuur en Buitenrijden in de Toscane;;cd17b278ae4c6036;ITPB 6 dressuurlessen en 3 buitenritten;1.097,00;1.392,00
950;Ok;13.05.2013 00:00:00;18.08.2013 00:00:00;a4f9d7c51a90dedf;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;295,00
948;Ok;10.05.2013 00:00:00;30.07.2013 00:00:00;4a770e5428ca1ff0;Nederlands Frans ruiterhotel in de Dordogne;;df052ef20bc56332;Beginnersweek Dordogne;1.650,00;2.349,00
846;Ok;15.03.2013 00:00:00;06.07.2013 00:00:00;bc728c09521f2aa6;Ponykamp Brabant - Loonse en Drunense Duinen;;56679947c587643e;Jeugdkamp Brabant Loonse en Drunense Duinen;840,00;868,20
951;Ok;14.05.2013 00:00:00;05.07.2013 00:00:00;6ba8e97ada3ef71c;Buitenritten en trektochten in Salland;;e10483c59f961445;Salland Trektochtweekend;590,00;590,00
855;Ok;19.03.2013 00:00:00;05.04.2013 00:00:00;f58b58ebb2a6195f;Westernranch in de Ardennen;;ec5bf082c4d8bae6;Weekend Western Ranch in Cabin Bunkhouse;780,00;0,00
817;Ok;03.03.2013 00:00:00;05.07.2013 00:00:00;0831d0ecbda287bb;Paardrijden met IJslanders in de Ardennen;;2c3990e373fce35f;Paardrijweekend IJslanders Ardennen;620,00;760,00
978;Ok;28.05.2013 00:00:00;06.07.2013 00:00:00;621c52b7f5029773;Ponykamp Brabant - Loonse en Drunense Duinen;;56679947c587643e;Jeugdkamp Brabant Loonse en Drunense Duinen;280,00;280,00
979;Ok;22.05.2013 00:00:00;31.08.2013 00:00:00;addcc751fd7587de;Beginnersweek te paard in Beieren, Duitsland;;9fbe0c4514352c37;Beginnersweek Beieren;440,00;608,26
980;Ok;14.05.2013 00:00:00;16.08.2013 00:00:00;f42fb541480275f6;Buitenritten en trektochten in Salland;;e10483c59f961445;Salland Trektochtweekend;295,00;295,00
982;Ok;23.05.2013 00:00:00;07.06.2013 00:00:00;44a32023f06e58d9;Klassieke dressuur van topkwaliteit en stedenschoon;;e8223b528d6f9eba;KLassieke Dressuurlessen Portugal Programma A;1.085,00;1.160,00
983;Ok;29.05.2013 00:00:00;28.06.2013 00:00:00;d5d8d5c99b38b586;Western paardrijden in de Algarve;;50db66c18a7cd74a;Gevorderdenweek Westernranch Algarve;660,00;995,00
985;Ok;29.05.2013 00:00:00;13.07.2013 00:00:00;3f02ab50ecd5b717;Paardrijden op het strand in Zeeland;;401e5ae439716d64;Kort paardrijweekend 1 nacht L/O 6 uur rijden;242,00;242,00
987;Ok;02.06.2013 00:00:00;21.06.2013 00:00:00;ee99342e12b90d95;Buitenritten in de Ongerepte Natuur van de Loonse en Drunense Duinen;;dcfe23e99ef09736;Paardrijweekend A - 9 uur rijden, tweepersoonskamer;440,00;462,80
992;Ok;06.06.2013 00:00:00;22.09.2013 00:00:00;03ed3ba4cbae2508;Trektocht Kastelen vd Gredos;;17630d7c569e59d1;Trektocht Kastelen van de Gredos;1.150,00;0,00
994;Ok;05.06.2013 00:00:00;14.09.2013 00:00:00;858dfac9b9413f5f;De Balkan trail bulgarije;;def3d0afc5a44821;Balkan Trail Centraal Balkan;895,00;895,00
999;Ok;03.06.2013 00:00:00;12.07.2013 00:00:00;8a5608612ab1765c;Paardrijden in het Brabantse Land;;aae72f7aa6dca586;Paardijweekend Brabant;440,00;0,00
1001;Ok;05.06.2013 00:00:00;06.07.2013 00:00:00;63af7feaf12875a7;Trektochten te paard in de Noord Eifel;;c181ab124ae29298;Vierdaags Panorama Trektochtweekend;1.530,00;1.530,00
1002;Ok;04.06.2013 00:00:00;17.07.2013 00:00:00;4679be6366173fdb;Dressuur Lissabon;;17630d7c569e59d1;Trektocht Kastelen van de Gredos;1.150,00;2.310,00
1012;Ok;07.06.2013 00:00:00;20.07.2013 00:00:00;f29c443659fe8d6d;De Kust van de Lusitano Portugal;;0de79b1b3cf34ddb;Semi-Trektocht kust vd Lusitano;939,00;1.029,00
1019;Ok;08.06.2013 00:00:00;04.08.2013 00:00:00;4fb29bb3a3cc8759;Avontuurlijke trektocht naar het hart van de Tien-Shan in Kirgizie;;448a6d79ba9174fc;Tien-Shan Trektocht;3.160,00;4.705,00
1023;Ok;09.06.2013 00:00:00;20.07.2013 00:00:00;f5e3836157d36015;Paardrijden op het strand in Zeeland;;401e5ae439716d64;Kort paardrijweekend 1 nacht L/O 6 uur rijden;242,00;242,00
904;Ok;08.04.2013 00:00:00;15.06.2013 00:00:00;76f6d452b6ef440b;De Kust van de Lusitano Portugal;;0de79b1b3cf34ddb;Semi-Trektocht kust vd Lusitano;939,00;982,29
1026;Ok;17.06.2013 00:00:00;10.08.2013 00:00:00;32ab50a8989cac76;De Balkan trail;;def3d0afc5a44821;Balkan Trail Centraal Balkan;895,00;1.405,00
881;Ok;27.03.2013 00:00:00;14.07.2013 00:00:00;1babb43c2e0b5200;Jeugdkamp Brabant - Op de Grens;;61ec9e975994d79f;Jeugdkamp Brabant, Op de grens;295,00;20,00
1034;Ok;15.06.2013 00:00:00;03.08.2013 00:00:00;28ab76d69295ab41;Nederlands Frans ruiterhotel in de Dordogne;;40b8a9c45dccb98a;Stertocht  Dordogne Zomerprogramma halve dagtochten;1.570,00;1.643,65
1035;Ok;15.06.2013 00:00:00;04.08.2013 00:00:00;e6da0e26804d9e74;Beginnersweek te paard in Beieren;;9fbe0c4514352c37;Beginnersweek Beieren;440,00;691,00
1040;Ok;14.06.2013 00:00:00;22.07.2013 00:00:00;44b1973bf9179fdd;Beginnersweek te paard in Beieren;;9fbe0c4514352c37;Beginnersweek Beieren;440,00;661,00
1024;Ok;11.06.2013 00:00:00;15.07.2013 00:00:00;1845fac307adc09b;Paardrijden op het strand in Zeeland;;5fbf412eef94db5d;Midweek paardrijden Zeeland 11 uur rijden;578,00;909,02
1047;Ok;26.06.2013 00:00:00;17.07.2013 00:00:00;f8cd948d1066244e;Standplaatsvakantie op Kreta;;6933825271acdebf;Week Sun and Riding Kreta;1.218,00;1.634,36
1048;Ok;27.06.2013 00:00:00;14.09.2013 00:00:00;e518d1f10cc5ddb3;Paardrijden op het strand in Zeeland;;401e5ae439716d64;Kort paardrijweekend 1 nacht L/O 6 uur rijden;242,00;242,00
1049;Ok;26.06.2013 00:00:00;15.07.2013 00:00:00;c5cb4cb80a0c9bf3;Een Western ranch net over de grens in Duitsland;;e01322b6839bc507;Midweek Western Ranch Duitsland;960,00;960,00
1051;Ok;28.06.2013 00:00:00;29.06.2013 00:00:00;222eedcaa8d86111;Ponykamp Brabant - Loonse en Drunense Duinen;;56679947c587643e;Jeugdkamp Brabant Loonse en Drunense Duinen;280,00;280,00
1053;Ok;29.06.2013 00:00:00;05.08.2013 00:00:00;784b4a16d09fabb5;Paardrijden op het strand in Zeeland;;5fbf412eef94db5d;Midweek paardrijden Zeeland 11 uur rijden;578,00;578,00
1054;Ok;29.06.2013 00:00:00;12.08.2013 00:00:00;ab6dd71af76c1e53;Paardrijden op het strand in Zeeland;;401e5ae439716d64;Kort paardrijweekend 1 nacht L/O 6 uur rijden;363,00;363,00
772;Ok;08.02.2013 00:00:00;01.08.2013 00:00:00;f1e8b755eabb5570;Rijden en mennen met Friese paarden in mooi Drenthe;;450aa792df490c3a;Lang weekend 7-8 uur rijden;440,00;463,00
772;Ok;08.02.2013 00:00:00;01.08.2013 00:00:00;f1e8b755eabb5570;Rijden en mennen met Friese paarden in mooi Drenthe;;c8297c6b4eac70c7;Reisverzekering Europa;20,00;463,00
1057;Ok;30.06.2013 00:00:00;01.08.2013 00:00:00;b22cb6c90aef5406;Paardrijden op het strand in Zeeland;;401e5ae439716d64;Kort paardrijweekend 1 nacht L/O 6 uur rijden;242,00;242,00
1058;Ok;02.07.2013 00:00:00;25.07.2013 00:00:00;c315d4396696201d;Pittige Ritten in de Ardennen;;9bb55c5aa3ba895e;Lang Weekend Pittige ritten Ruiter;940,00;985,00
1059;Ok;03.07.2013 00:00:00;13.07.2013 00:00:00;f3b6b2094a6e00b8;Ponykamp Brabant - Loonse en Drunense Duinen;;56679947c587643e;Jeugdkamp Brabant Loonse en Drunense Duinen;280,00;280,00
944;Ok;09.05.2013 00:00:00;06.07.2013 00:00:00;92dcbf11a9d975ee;Nederlands Frans ruiterhotel in de Dordogne ;;40b8a9c45dccb98a;Stertocht standplaats Dordogne;1.650,00;1.570,00
1063;Ok;04.07.2013 00:00:00;08.08.2013 00:00:00;c87b9d96f0bca1f4;Standplaatsvakantie op Kreta;;6933825271acdebf;Week Sun and Riding Kreta;1.218,00;1.021,25
988;Ok;31.05.2013 00:00:00;09.08.2013 00:00:00;da859e21bbf52b92;Buitenritten en trektochten in Salland;;a6b9e4c180631a98;Standplaatsweekend Salland;250,00;295,00
1066;Ok;06.07.2013 00:00:00;05.10.2013 00:00:00;ac068fdb9c57a08d;Paardrijden op het strand in Zeeland;;401e5ae439716d64;Kort paardrijweekend 1 nacht L/O 6 uur rijden;242,00;242,00
1074;Ok;09.07.2013 00:00:00;19.10.2013 00:00:00;68c3d6d4aef64478;Bulgarije;;94634d3f405cab0c;Trektocht Zingende Rotsen Centraal Balkan;1.790,00;2.469,93
1077;Ok;12.07.2013 00:00:00;07.09.2013 00:00:00;3da630d4eeba28cf;Klassieke Dressuur en Buitenrijden in de Toscane;;b8eea509094e083a;Programma C 6 dagen buitenritten Hoogseizoen;960,00;1.156,00
1079;Ok;11.07.2013 00:00:00;09.08.2013 00:00:00;7a0bb04faf978199;Buitenritten en trektochten in Salland;;e10483c59f961445;Salland Trektochtweekend;590,00;590,00
1078;Ok;13.07.2013 00:00:00;18.10.2013 00:00:00;ccd877101dd6854b;Buitenritten in de Ongerepte Natuur van de Loonse en Drunense Duinen;;dcfe23e99ef09736;Paardrijweekend A - 9 uur rijden, tweepersoonskamer;440,00;440,00
1080;Ok;14.07.2013 00:00:00;27.07.2013 00:00:00;26334bb970177637;Paardrijden op het strand in Zeeland;;401e5ae439716d64;Kort paardrijweekend 1 nacht L/O 6 uur rijden;121,00;121,00
1086;Ok;20.07.2013 00:00:00;10.08.2013 00:00:00;2828c86549e2c533;Ponykamp Brabant - Loonse en Drunense Duinen;;56679947c587643e;Jeugdkamp Brabant Loonse en Drunense Duinen;280,00;280,00
1087;Ok;20.07.2013 00:00:00;28.07.2013 00:00:00;6e8d6c25ac8cd12e;Beginnersweek te paard in Beieren;;9fbe0c4514352c37;Beginnersweek Beieren;880,00;880,00
1089;Ok;22.07.2013 00:00:00;15.08.2013 00:00:00;cdeefcfd3deb0320;Klassieke dressuur van topkwaliteit en stedenschoon;;e8223b528d6f9eba;KLassieke Dressuurlessen Portugal eenpersoonskamer;925,00;1.408,53
